Actor,Movie,Year of Release,Awards,Rotten Tomatoes Rating,Filmography Type
Tom Hanks,Titanic,2011,Screen Actors Guild,52%,Series
Tom Hanks,The Departed,1991,No Awards,45%,Series
Leonardo DiCaprio,Pulp Fiction,2006,Critics Choice,43%,Movie
Sandra Bullock,Forrest Gump,2010,Oscar,49%,Movie
Brad Pitt,Ocean's Eleven,1998,Oscar,72%,Movie
Robert De Niro,Fight Club,2023,No Awards,75%,Series
Brad Pitt,The Silence of the Lambs,2010,Oscar,43%,Series
Robert De Niro,The Godfather Part II,2002,No Awards,42%,Movie
Robert De Niro,The Godfather Part II,2014,Golden Globe,74%,Series
Sandra Bullock,Forrest Gump,1993,Critics Choice,69%,Series
Robert De Niro,The Silence of the Lambs,2004,Screen Actors Guild,78%,Movie
Natalie Portman,The Iron Lady,2017,BAFTA,95%,Movie
Sandra Bullock,Fight Club,2005,Golden Globe,92%,Series
Robert De Niro,Training Day,2018,No Awards,44%,Series
Sandra Bullock,Se7en,2009,Golden Globe,51%,Movie
Sandra Bullock,The Devil Wears Prada,1990,Oscar,42%,Movie
Leonardo DiCaprio,Gravity,1986,Screen Actors Guild,53%,Movie
Meryl Streep,Fight Club,2010,No Awards,56%,Series
Leonardo DiCaprio,Lucy,1990,Critics Choice,53%,Series
Brad Pitt,Gravity,1986,Screen Actors Guild,46%,Series
Robert De Niro,Fight Club,1986,Golden Globe,81%,Movie
Leonardo DiCaprio,Black Swan,2007,No Awards,98%,Movie
Robert De Niro,Se7en,2016,Golden Globe,68%,Series
Denzel Washington,The Silence of the Lambs,2023,Critics Choice,44%,Movie
Scarlett Johansson,Fences,1993,No Awards,46%,Series
Leonardo DiCaprio,Titanic,2016,Oscar,40%,Series
Scarlett Johansson,Lucy,2003,Critics Choice,74%,Movie
Scarlett Johansson,Fences,2014,BAFTA,74%,Movie
Scarlett Johansson,Pulp Fiction,2001,No Awards,63%,Series
Natalie Portman,The Shawshank Redemption,2019,BAFTA,81%,Movie
Leonardo DiCaprio,Fight Club,2015,BAFTA,95%,Movie
Robert De Niro,Forrest Gump,2007,Screen Actors Guild,53%,Series
Tom Hanks,Fight Club,2007,Oscar,75%,Movie
Meryl Streep,The Godfather Part II,1984,Critics Choice,42%,Series
Natalie Portman,Ocean's Eleven,2003,Critics Choice,89%,Movie
Robert De Niro,Gravity,2018,No Awards,55%,Series
Denzel Washington,Lucy,2017,Screen Actors Guild,92%,Series
Leonardo DiCaprio,Gravity,2007,Critics Choice,65%,Movie
Meryl Streep,The Matrix,2014,BAFTA,56%,Movie
Leonardo DiCaprio,The Iron Lady,2012,Oscar,61%,Series
Morgan Freeman,Se7en,2003,Critics Choice,84%,Movie
Tom Hanks,The Shawshank Redemption,2004,Golden Globe,58%,Movie
Natalie Portman,Ocean's Eleven,2008,Golden Globe,53%,Series
Meryl Streep,Black Swan,2003,Critics Choice,48%,Movie
Sandra Bullock,Titanic,2012,Critics Choice,58%,Series
Robert De Niro,Forrest Gump,1986,BAFTA,74%,Series
Sandra Bullock,The Iron Lady,1998,Critics Choice,90%,Movie
Denzel Washington,The Godfather Part II,1988,BAFTA,79%,Movie
Leonardo DiCaprio,The Godfather Part II,2013,No Awards,40%,Movie
Tom Hanks,Titanic,2002,Oscar,49%,Series
Tom Hanks,Ocean's Eleven,2022,Screen Actors Guild,44%,Movie
Natalie Portman,The Iron Lady,2021,Oscar,76%,Series
Tom Hanks,Training Day,2015,Critics Choice,76%,Movie
Robert De Niro,The Wolf of Wall Street,2018,Screen Actors Guild,92%,Series
Morgan Freeman,Pulp Fiction,2007,Screen Actors Guild,64%,Series
Sandra Bullock,The Wolf of Wall Street,2023,Critics Choice,47%,Movie
Robert De Niro,Training Day,1988,Golden Globe,48%,Series
Scarlett Johansson,The Shawshank Redemption,1988,Golden Globe,48%,Series
Denzel Washington,Pulp Fiction,2016,BAFTA,57%,Series
Brad Pitt,The Godfather Part II,1980,No Awards,49%,Movie
Meryl Streep,Titanic,1990,Golden Globe,87%,Movie
Natalie Portman,Ocean's Eleven,2012,No Awards,51%,Movie
Scarlett Johansson,Fight Club,2009,Critics Choice,71%,Series
Brad Pitt,Titanic,1986,Critics Choice,40%,Movie
Meryl Streep,The Wolf of Wall Street,1993,Oscar,50%,Series
Robert De Niro,Se7en,1994,Oscar,69%,Series
Denzel Washington,Se7en,2016,Golden Globe,100%,Movie
Denzel Washington,The Godfather Part II,2016,Critics Choice,62%,Movie
Tom Hanks,Gravity,1987,Screen Actors Guild,87%,Movie
Sandra Bullock,La La Land,2022,Oscar,98%,Movie
Sandra Bullock,Fight Club,2016,Golden Globe,86%,Movie
Robert De Niro,Pulp Fiction,2018,No Awards,57%,Series
Natalie Portman,Se7en,1998,No Awards,91%,Movie
Tom Hanks,The Shawshank Redemption,2015,Critics Choice,89%,Series
Meryl Streep,The Silence of the Lambs,1996,Screen Actors Guild,92%,Movie
Denzel Washington,Pulp Fiction,2005,Screen Actors Guild,41%,Series
Tom Hanks,The Shawshank Redemption,1993,BAFTA,42%,Movie
Meryl Streep,The Devil Wears Prada,1995,Screen Actors Guild,94%,Series
Tom Hanks,The Shawshank Redemption,2018,Golden Globe,51%,Movie
Scarlett Johansson,Black Swan,2009,Oscar,73%,Series
Morgan Freeman,Training Day,2021,Screen Actors Guild,54%,Movie
Brad Pitt,Pulp Fiction,2019,No Awards,99%,Movie
Natalie Portman,Training Day,1983,Oscar,59%,Series
Tom Hanks,Titanic,1980,Oscar,55%,Movie
Denzel Washington,The Departed,1983,Screen Actors Guild,61%,Movie
Brad Pitt,The Devil Wears Prada,1988,BAFTA,44%,Movie
Scarlett Johansson,The Iron Lady,2007,Oscar,77%,Movie
Sandra Bullock,The Silence of the Lambs,2012,Critics Choice,62%,Series
Tom Hanks,Fight Club,2021,Oscar,63%,Series
Scarlett Johansson,The Godfather Part II,2013,Critics Choice,56%,Movie
Robert De Niro,The Departed,1994,Oscar,48%,Series
Sandra Bullock,The Wolf of Wall Street,2000,BAFTA,54%,Movie
Tom Hanks,Gravity,2016,Oscar,43%,Movie
Denzel Washington,Forrest Gump,1990,BAFTA,91%,Movie
Natalie Portman,Ocean's Eleven,2001,Critics Choice,57%,Series
Meryl Streep,Titanic,2016,Golden Globe,48%,Movie
Scarlett Johansson,Pulp Fiction,2019,Screen Actors Guild,70%,Movie
Brad Pitt,Lucy,2011,No Awards,93%,Movie
Scarlett Johansson,Black Swan,1991,No Awards,99%,Movie
Meryl Streep,Se7en,1997,BAFTA,54%,Movie
Meryl Streep,The Iron Lady,2004,BAFTA,92%,Series
Leonardo DiCaprio,Lucy,1991,BAFTA,71%,Movie
Robert De Niro,The Shawshank Redemption,1992,Golden Globe,58%,Movie
Robert De Niro,The Wolf of Wall Street,1987,Oscar,58%,Movie
Tom Hanks,Black Swan,2010,Golden Globe,89%,Movie
Morgan Freeman,Pulp Fiction,2018,Golden Globe,49%,Series
Leonardo DiCaprio,Se7en,2017,Critics Choice,76%,Series
Tom Hanks,Se7en,2009,BAFTA,95%,Movie
Denzel Washington,Se7en,1983,Golden Globe,68%,Movie
Sandra Bullock,La La Land,1990,Critics Choice,90%,Series
Meryl Streep,Fight Club,1982,Screen Actors Guild,93%,Series
Brad Pitt,Lucy,1981,Critics Choice,40%,Movie
Tom Hanks,La La Land,2002,Oscar,85%,Series
Brad Pitt,Pulp Fiction,2012,BAFTA,89%,Movie
Meryl Streep,Fight Club,1987,No Awards,73%,Movie
Leonardo DiCaprio,Titanic,1999,No Awards,55%,Series
Sandra Bullock,The Departed,1988,No Awards,93%,Series
Robert De Niro,Ocean's Eleven,2011,No Awards,54%,Series
Morgan Freeman,The Devil Wears Prada,2016,BAFTA,49%,Series
Meryl Streep,Fight Club,1991,Oscar,91%,Movie
Sandra Bullock,Se7en,1982,BAFTA,44%,Movie
Leonardo DiCaprio,Gravity,2020,Golden Globe,87%,Movie
Brad Pitt,Forrest Gump,1995,Critics Choice,96%,Series
Meryl Streep,Forrest Gump,2006,Critics Choice,81%,Movie
Robert De Niro,The Matrix,2003,Screen Actors Guild,43%,Series
Morgan Freeman,Se7en,1982,Screen Actors Guild,53%,Movie
Denzel Washington,Ocean's Eleven,2011,BAFTA,93%,Movie
Meryl Streep,Ocean's Eleven,1999,No Awards,64%,Series
Meryl Streep,Fences,2006,Screen Actors Guild,82%,Movie
Natalie Portman,The Devil Wears Prada,1986,No Awards,72%,Series
Brad Pitt,Gravity,1993,Screen Actors Guild,69%,Series
Denzel Washington,Titanic,2015,Oscar,83%,Movie
Denzel Washington,Fences,2019,Oscar,79%,Movie
Morgan Freeman,The Wolf of Wall Street,2017,Golden Globe,95%,Movie
Sandra Bullock,Black Swan,2003,Critics Choice,92%,Series
Denzel Washington,Lucy,1981,BAFTA,99%,Series
Tom Hanks,Se7en,1987,Golden Globe,61%,Series
Leonardo DiCaprio,Se7en,2003,No Awards,89%,Movie
Morgan Freeman,The Matrix,2010,Oscar,67%,Movie
Brad Pitt,The Wolf of Wall Street,2013,Screen Actors Guild,87%,Series
Brad Pitt,The Matrix,1995,Critics Choice,99%,Series
Natalie Portman,The Iron Lady,2013,Critics Choice,85%,Movie
Natalie Portman,Pulp Fiction,1988,Critics Choice,42%,Series
Meryl Streep,Titanic,2011,Screen Actors Guild,44%,Series
Scarlett Johansson,La La Land,2000,Golden Globe,68%,Movie
Robert De Niro,Lucy,2020,Oscar,50%,Movie
Tom Hanks,Titanic,1983,BAFTA,99%,Series
Tom Hanks,The Iron Lady,1987,Critics Choice,94%,Series
Meryl Streep,La La Land,2016,Critics Choice,92%,Movie
Tom Hanks,Se7en,2008,Oscar,86%,Movie
Morgan Freeman,Gravity,1984,Golden Globe,40%,Movie
Morgan Freeman,Forrest Gump,1980,Screen Actors Guild,99%,Movie
Leonardo DiCaprio,Gravity,2010,No Awards,86%,Series
Morgan Freeman,The Matrix,2011,Golden Globe,59%,Movie
Robert De Niro,The Matrix,2023,No Awards,41%,Movie
Tom Hanks,La La Land,2011,Critics Choice,75%,Movie
Denzel Washington,Lucy,1986,Oscar,52%,Movie
Leonardo DiCaprio,Titanic,1989,No Awards,51%,Series
Scarlett Johansson,Forrest Gump,1996,Screen Actors Guild,87%,Series
Brad Pitt,Lucy,1980,Screen Actors Guild,65%,Series
Scarlett Johansson,Pulp Fiction,1996,Golden Globe,45%,Series
Meryl Streep,Fences,2021,Oscar,95%,Series
Natalie Portman,Ocean's Eleven,1987,Critics Choice,44%,Series
Tom Hanks,The Departed,2012,Golden Globe,72%,Movie
Tom Hanks,The Godfather Part II,2012,Oscar,99%,Series
Brad Pitt,Fences,2015,Oscar,73%,Series
Denzel Washington,The Shawshank Redemption,2022,No Awards,58%,Movie
Scarlett Johansson,Gravity,2018,Golden Globe,94%,Movie
Tom Hanks,The Shawshank Redemption,2017,No Awards,41%,Movie
Sandra Bullock,La La Land,2012,No Awards,55%,Movie
Denzel Washington,The Devil Wears Prada,2003,Critics Choice,66%,Series
Sandra Bullock,The Silence of the Lambs,1985,Critics Choice,40%,Series
Meryl Streep,Black Swan,1994,No Awards,71%,Series
Sandra Bullock,The Wolf of Wall Street,2019,Screen Actors Guild,64%,Series
Tom Hanks,Forrest Gump,2015,Oscar,46%,Series
Morgan Freeman,Lucy,2018,Critics Choice,93%,Series
Leonardo DiCaprio,Fences,2013,BAFTA,60%,Series
Tom Hanks,Fences,1996,BAFTA,43%,Movie
Denzel Washington,The Iron Lady,2017,No Awards,76%,Series
Brad Pitt,Lucy,1991,No Awards,57%,Movie
Brad Pitt,The Devil Wears Prada,1986,BAFTA,40%,Movie
Meryl Streep,The Departed,2019,BAFTA,75%,Series
Natalie Portman,The Wolf of Wall Street,1990,Screen Actors Guild,56%,Movie
Meryl Streep,The Iron Lady,2008,Golden Globe,94%,Movie
Morgan Freeman,The Shawshank Redemption,2022,No Awards,53%,Series
Leonardo DiCaprio,Se7en,1996,Screen Actors Guild,44%,Movie
Brad Pitt,Fences,1986,Screen Actors Guild,63%,Series
Denzel Washington,Lucy,2006,Critics Choice,62%,Series
Brad Pitt,La La Land,2002,Screen Actors Guild,96%,Series
Morgan Freeman,Pulp Fiction,1980,Critics Choice,63%,Series
Meryl Streep,The Shawshank Redemption,1985,No Awards,80%,Series
Morgan Freeman,Fight Club,1992,Golden Globe,56%,Series
Scarlett Johansson,Ocean's Eleven,2018,Golden Globe,82%,Movie
Scarlett Johansson,The Devil Wears Prada,2000,BAFTA,56%,Movie
Meryl Streep,The Silence of the Lambs,2008,No Awards,85%,Series
Denzel Washington,Black Swan,2023,Oscar,90%,Movie
Scarlett Johansson,The Wolf of Wall Street,1981,Screen Actors Guild,41%,Series
Denzel Washington,Black Swan,2004,Screen Actors Guild,48%,Series
Denzel Washington,Titanic,2016,Golden Globe,92%,Series
Denzel Washington,The Shawshank Redemption,2000,BAFTA,66%,Movie
Meryl Streep,The Iron Lady,1991,Screen Actors Guild,80%,Movie
Tom Hanks,The Departed,1987,Screen Actors Guild,72%,Series
Denzel Washington,Lucy,1986,Critics Choice,99%,Series
Morgan Freeman,Pulp Fiction,2010,No Awards,68%,Movie
Robert De Niro,La La Land,2019,Critics Choice,45%,Movie
Morgan Freeman,The Devil Wears Prada,1990,Golden Globe,85%,Series
Denzel Washington,Lucy,1998,No Awards,55%,Series
Brad Pitt,Forrest Gump,2004,Screen Actors Guild,75%,Series
Brad Pitt,The Departed,2006,Screen Actors Guild,85%,Movie
Leonardo DiCaprio,Fences,1995,BAFTA,80%,Movie
Tom Hanks,Fight Club,1990,BAFTA,70%,Series
Brad Pitt,The Godfather Part II,1994,Critics Choice,52%,Movie
Leonardo DiCaprio,La La Land,1980,Golden Globe,54%,Movie
Leonardo DiCaprio,The Matrix,2022,No Awards,42%,Movie
Morgan Freeman,La La Land,1982,Critics Choice,68%,Movie
Meryl Streep,The Matrix,2008,Golden Globe,89%,Movie
Morgan Freeman,The Iron Lady,2018,BAFTA,53%,Movie
Denzel Washington,Fight Club,2023,Screen Actors Guild,96%,Movie
Scarlett Johansson,Black Swan,2014,BAFTA,51%,Movie
Leonardo DiCaprio,Pulp Fiction,2015,No Awards,64%,Movie
Scarlett Johansson,Training Day,1983,Oscar,59%,Series
Scarlett Johansson,The Departed,2011,Oscar,89%,Series
Brad Pitt,The Iron Lady,2013,No Awards,48%,Series
Brad Pitt,Pulp Fiction,2020,Screen Actors Guild,47%,Series
Sandra Bullock,The Wolf of Wall Street,2021,BAFTA,59%,Movie
Morgan Freeman,Se7en,2007,Critics Choice,47%,Series
Tom Hanks,Titanic,1986,No Awards,72%,Movie
Robert De Niro,The Wolf of Wall Street,1986,Golden Globe,44%,Movie
Scarlett Johansson,The Godfather Part II,2011,Golden Globe,83%,Series
Tom Hanks,Titanic,2016,Critics Choice,52%,Movie
Morgan Freeman,The Silence of the Lambs,1987,BAFTA,94%,Series
Tom Hanks,Pulp Fiction,2003,Critics Choice,95%,Series
Leonardo DiCaprio,The Shawshank Redemption,2015,Oscar,100%,Movie
Morgan Freeman,The Silence of the Lambs,2014,Golden Globe,58%,Series
Sandra Bullock,The Silence of the Lambs,1999,BAFTA,53%,Movie
Brad Pitt,The Devil Wears Prada,2006,BAFTA,67%,Series
Brad Pitt,Gravity,1989,Oscar,62%,Movie
Brad Pitt,Training Day,1994,Oscar,70%,Series
Meryl Streep,Fight Club,1999,BAFTA,42%,Series
Scarlett Johansson,Se7en,1999,No Awards,46%,Series
Leonardo DiCaprio,La La Land,2008,BAFTA,64%,Movie
Scarlett Johansson,The Wolf of Wall Street,2023,Screen Actors Guild,91%,Movie
Tom Hanks,The Devil Wears Prada,1994,Critics Choice,78%,Series
Natalie Portman,Fight Club,1999,Critics Choice,100%,Movie
Denzel Washington,Training Day,1989,Screen Actors Guild,84%,Movie
Denzel Washington,Lucy,1989,Oscar,64%,Movie
Morgan Freeman,The Departed,2000,Screen Actors Guild,81%,Series
Sandra Bullock,Pulp Fiction,2023,Golden Globe,67%,Movie
Scarlett Johansson,The Silence of the Lambs,1996,No Awards,58%,Series
Tom Hanks,Ocean's Eleven,2007,Oscar,54%,Movie
Denzel Washington,The Shawshank Redemption,2022,Screen Actors Guild,98%,Series
Robert De Niro,The Godfather Part II,2005,Critics Choice,80%,Movie
Leonardo DiCaprio,The Wolf of Wall Street,1990,Golden Globe,100%,Movie
Morgan Freeman,Se7en,2023,No Awards,53%,Series
Sandra Bullock,The Wolf of Wall Street,2006,Golden Globe,73%,Series
Denzel Washington,Training Day,1989,Screen Actors Guild,44%,Movie
Leonardo DiCaprio,The Departed,1986,Oscar,87%,Series
Natalie Portman,The Silence of the Lambs,1993,BAFTA,66%,Series
Robert De Niro,Fight Club,1999,No Awards,91%,Movie
Tom Hanks,Training Day,2002,BAFTA,64%,Movie
Scarlett Johansson,Gravity,2006,No Awards,90%,Movie
Natalie Portman,The Iron Lady,2004,BAFTA,68%,Series
Tom Hanks,The Silence of the Lambs,1981,Golden Globe,68%,Series
Leonardo DiCaprio,La La Land,1988,BAFTA,78%,Movie
Denzel Washington,Pulp Fiction,1995,Screen Actors Guild,80%,Series
Morgan Freeman,The Matrix,2002,Critics Choice,87%,Movie
Leonardo DiCaprio,The Godfather Part II,2006,BAFTA,56%,Movie
Leonardo DiCaprio,The Iron Lady,2004,No Awards,57%,Series
Meryl Streep,The Shawshank Redemption,2022,Critics Choice,75%,Series
Denzel Washington,Black Swan,2012,Oscar,65%,Series
Meryl Streep,Titanic,2005,Screen Actors Guild,79%,Movie
Meryl Streep,The Departed,2009,No Awards,60%,Series
Meryl Streep,The Godfather Part II,2001,No Awards,63%,Series
Tom Hanks,La La Land,1983,No Awards,58%,Series
Scarlett Johansson,Fences,1981,Critics Choice,52%,Movie
Meryl Streep,Forrest Gump,2012,Golden Globe,83%,Movie
Morgan Freeman,Black Swan,1985,Oscar,95%,Series
Denzel Washington,Fight Club,1996,Critics Choice,77%,Movie
Brad Pitt,Fences,2016,Golden Globe,79%,Movie
Scarlett Johansson,The Departed,1986,BAFTA,53%,Series
Sandra Bullock,Fences,1989,Oscar,52%,Series
Meryl Streep,The Shawshank Redemption,1990,Golden Globe,66%,Series
Morgan Freeman,The Shawshank Redemption,2001,BAFTA,62%,Movie
Natalie Portman,The Departed,1995,Screen Actors Guild,96%,Movie
Robert De Niro,Fences,1980,Critics Choice,66%,Series
Meryl Streep,The Matrix,1985,No Awards,90%,Series
Natalie Portman,Forrest Gump,2014,Golden Globe,60%,Movie
Natalie Portman,The Godfather Part II,1981,Oscar,42%,Series
Meryl Streep,Fences,1990,BAFTA,94%,Series
Morgan Freeman,Training Day,2001,BAFTA,48%,Series
Natalie Portman,Training Day,1983,Critics Choice,89%,Movie
Brad Pitt,Fight Club,1992,Golden Globe,82%,Series
Denzel Washington,Fences,1991,Critics Choice,41%,Series
Sandra Bullock,Training Day,1981,No Awards,60%,Series
Robert De Niro,Fight Club,1984,Screen Actors Guild,82%,Series
Meryl Streep,Fences,1993,No Awards,59%,Series
Morgan Freeman,Fight Club,1988,BAFTA,84%,Movie
Morgan Freeman,La La Land,1995,Oscar,46%,Movie
Morgan Freeman,Fight Club,2023,Golden Globe,42%,Series
Leonardo DiCaprio,Ocean's Eleven,1992,Oscar,91%,Movie
Brad Pitt,Se7en,1992,Screen Actors Guild,68%,Movie
Brad Pitt,Training Day,2011,Critics Choice,92%,Movie
Morgan Freeman,Se7en,1994,Oscar,89%,Movie
Sandra Bullock,Pulp Fiction,2012,Oscar,74%,Series
Natalie Portman,The Shawshank Redemption,2020,Oscar,63%,Movie
Leonardo DiCaprio,La La Land,2020,Golden Globe,91%,Movie
Tom Hanks,Black Swan,1988,Screen Actors Guild,88%,Series
Brad Pitt,The Matrix,1984,BAFTA,64%,Movie
Scarlett Johansson,The Departed,2010,Oscar,53%,Movie
Meryl Streep,The Iron Lady,2017,Oscar,82%,Movie
Leonardo DiCaprio,The Devil Wears Prada,1981,BAFTA,98%,Movie
Meryl Streep,Gravity,2012,No Awards,77%,Movie
Meryl Streep,The Departed,1981,Screen Actors Guild,57%,Movie
Leonardo DiCaprio,The Matrix,1999,Golden Globe,64%,Movie
Scarlett Johansson,The Shawshank Redemption,1989,BAFTA,98%,Movie
Robert De Niro,Fences,1991,Critics Choice,55%,Movie
Morgan Freeman,Fight Club,2011,Screen Actors Guild,81%,Movie
Morgan Freeman,The Matrix,2021,BAFTA,55%,Movie
Tom Hanks,The Devil Wears Prada,2009,Critics Choice,70%,Movie
Natalie Portman,Titanic,1988,BAFTA,83%,Series
Morgan Freeman,Fences,1998,Critics Choice,48%,Movie
Morgan Freeman,The Departed,2008,Screen Actors Guild,61%,Movie
Brad Pitt,La La Land,1990,BAFTA,72%,Series
Denzel Washington,The Iron Lady,1997,Screen Actors Guild,67%,Movie
Scarlett Johansson,Se7en,2019,Oscar,42%,Movie
Robert De Niro,The Devil Wears Prada,2013,Critics Choice,92%,Movie
Morgan Freeman,Lucy,2020,Screen Actors Guild,63%,Movie
Sandra Bullock,Ocean's Eleven,1984,Golden Globe,47%,Series
Meryl Streep,Black Swan,1992,BAFTA,56%,Series
Scarlett Johansson,Titanic,2002,Golden Globe,56%,Series
Denzel Washington,The Wolf of Wall Street,2019,BAFTA,86%,Series
Meryl Streep,Pulp Fiction,2010,Screen Actors Guild,100%,Series
Brad Pitt,The Silence of the Lambs,1980,Critics Choice,57%,Series
Meryl Streep,Fight Club,2022,No Awards,69%,Series
Leonardo DiCaprio,Forrest Gump,2015,Oscar,60%,Movie
Leonardo DiCaprio,Lucy,2014,BAFTA,86%,Movie
Denzel Washington,The Wolf of Wall Street,1984,Critics Choice,99%,Series
Scarlett Johansson,The Silence of the Lambs,1985,Screen Actors Guild,46%,Series
Scarlett Johansson,Fences,2017,BAFTA,76%,Movie
Sandra Bullock,The Wolf of Wall Street,2019,Screen Actors Guild,61%,Series
Denzel Washington,Training Day,1997,Oscar,59%,Series
Tom Hanks,Forrest Gump,1993,No Awards,75%,Movie
Natalie Portman,La La Land,2015,Golden Globe,76%,Series
Robert De Niro,The Wolf of Wall Street,1985,BAFTA,52%,Movie
Brad Pitt,Forrest Gump,1997,Golden Globe,93%,Movie
Scarlett Johansson,Fight Club,2016,Oscar,48%,Series
Denzel Washington,The Wolf of Wall Street,1984,Screen Actors Guild,44%,Movie
Sandra Bullock,The Godfather Part II,1992,No Awards,93%,Movie
Leonardo DiCaprio,La La Land,1995,Screen Actors Guild,67%,Movie
Leonardo DiCaprio,The Devil Wears Prada,1991,Critics Choice,81%,Series
Denzel Washington,Training Day,2009,No Awards,46%,Series
Meryl Streep,Gravity,1984,Critics Choice,87%,Movie
Brad Pitt,Black Swan,2022,Screen Actors Guild,72%,Movie
Natalie Portman,Gravity,1990,Oscar,98%,Movie
Denzel Washington,Se7en,2008,Screen Actors Guild,98%,Series
Natalie Portman,Forrest Gump,1995,Oscar,51%,Movie
Sandra Bullock,Pulp Fiction,2016,Golden Globe,85%,Series
Denzel Washington,Fight Club,2006,BAFTA,48%,Movie
Leonardo DiCaprio,Fight Club,1983,Screen Actors Guild,60%,Series
Robert De Niro,La La Land,2020,Critics Choice,96%,Series
Brad Pitt,La La Land,2013,Screen Actors Guild,77%,Series
Morgan Freeman,Se7en,1982,Critics Choice,42%,Movie
Brad Pitt,The Silence of the Lambs,2012,Golden Globe,75%,Movie
Robert De Niro,Pulp Fiction,2003,Golden Globe,71%,Movie
Sandra Bullock,Fences,1980,Oscar,75%,Series
Meryl Streep,The Silence of the Lambs,2019,Golden Globe,90%,Series
Scarlett Johansson,Pulp Fiction,2011,Oscar,82%,Series
Meryl Streep,Forrest Gump,1991,Golden Globe,73%,Series
Scarlett Johansson,Gravity,1998,Screen Actors Guild,44%,Movie
Sandra Bullock,The Silence of the Lambs,2013,Golden Globe,81%,Series
Sandra Bullock,Black Swan,2001,Oscar,53%,Movie
Sandra Bullock,Training Day,1994,No Awards,92%,Series
Natalie Portman,The Shawshank Redemption,2009,Golden Globe,49%,Series
Meryl Streep,The Silence of the Lambs,1997,Screen Actors Guild,76%,Series
Tom Hanks,The Silence of the Lambs,1989,Critics Choice,50%,Series
Robert De Niro,Pulp Fiction,1993,Oscar,61%,Movie
Tom Hanks,The Godfather Part II,2006,Oscar,72%,Series
Brad Pitt,Gravity,2002,BAFTA,67%,Movie
Tom Hanks,The Wolf of Wall Street,2017,BAFTA,75%,Series
Brad Pitt,Pulp Fiction,2013,Oscar,72%,Movie
Brad Pitt,Lucy,1980,BAFTA,75%,Movie
Natalie Portman,The Shawshank Redemption,1980,Oscar,98%,Series
Tom Hanks,The Departed,1987,No Awards,74%,Movie
Tom Hanks,Forrest Gump,1989,Critics Choice,68%,Movie
Natalie Portman,Forrest Gump,2019,Oscar,52%,Movie
Brad Pitt,Forrest Gump,2011,Screen Actors Guild,97%,Movie
Meryl Streep,La La Land,2008,Critics Choice,94%,Movie
Leonardo DiCaprio,The Godfather Part II,1999,No Awards,77%,Movie
Denzel Washington,Se7en,2002,BAFTA,78%,Series
Natalie Portman,La La Land,1997,Oscar,47%,Movie
Brad Pitt,The Wolf of Wall Street,1995,Golden Globe,75%,Series
Morgan Freeman,Black Swan,2013,Critics Choice,53%,Movie
Scarlett Johansson,Fences,2010,Critics Choice,56%,Movie
Denzel Washington,Ocean's Eleven,2005,Screen Actors Guild,50%,Movie
Robert De Niro,The Devil Wears Prada,2017,No Awards,87%,Movie
Tom Hanks,Lucy,2011,Critics Choice,80%,Movie
Brad Pitt,Forrest Gump,1993,Screen Actors Guild,82%,Movie
Denzel Washington,The Devil Wears Prada,2022,Oscar,59%,Series
Meryl Streep,The Shawshank Redemption,1983,Oscar,58%,Series
Robert De Niro,La La Land,1981,Screen Actors Guild,89%,Movie
Leonardo DiCaprio,The Godfather Part II,2007,Critics Choice,72%,Movie
Natalie Portman,The Silence of the Lambs,2023,No Awards,66%,Movie
Brad Pitt,La La Land,2006,Golden Globe,51%,Series
Brad Pitt,Fences,1990,Golden Globe,75%,Series
Natalie Portman,Titanic,2016,Screen Actors Guild,64%,Movie
Leonardo DiCaprio,The Godfather Part II,2023,No Awards,84%,Series
Tom Hanks,Forrest Gump,2005,No Awards,62%,Series
Brad Pitt,The Silence of the Lambs,2016,BAFTA,74%,Movie
Meryl Streep,Pulp Fiction,2023,Screen Actors Guild,62%,Movie
Morgan Freeman,The Silence of the Lambs,1992,Golden Globe,69%,Series
Scarlett Johansson,Black Swan,1999,Oscar,88%,Movie
Robert De Niro,The Shawshank Redemption,1984,Screen Actors Guild,80%,Series
Robert De Niro,Fences,1991,No Awards,43%,Movie
Robert De Niro,Se7en,1999,BAFTA,77%,Movie
Robert De Niro,The Departed,2004,Critics Choice,100%,Movie
Tom Hanks,Fences,1997,Golden Globe,55%,Movie
Natalie Portman,Pulp Fiction,1988,Critics Choice,94%,Series
Robert De Niro,The Matrix,2022,Oscar,76%,Series
Natalie Portman,Forrest Gump,2017,Critics Choice,86%,Movie
Tom Hanks,Training Day,2003,BAFTA,79%,Series
Meryl Streep,Ocean's Eleven,1982,Oscar,62%,Series
Tom Hanks,The Departed,1990,Golden Globe,40%,Series
Brad Pitt,Lucy,1992,No Awards,92%,Movie
Tom Hanks,Forrest Gump,1985,No Awards,75%,Series
Brad Pitt,The Departed,2006,BAFTA,83%,Series
Brad Pitt,Se7en,2020,BAFTA,92%,Series
Robert De Niro,The Matrix,2019,Oscar,75%,Series
Tom Hanks,The Iron Lady,2021,Oscar,91%,Series
Scarlett Johansson,The Matrix,1982,Oscar,44%,Series
Meryl Streep,The Silence of the Lambs,2009,Screen Actors Guild,43%,Movie
Morgan Freeman,Titanic,2007,Oscar,59%,Movie
Scarlett Johansson,Pulp Fiction,1981,Screen Actors Guild,47%,Movie
Scarlett Johansson,The Godfather Part II,2009,No Awards,61%,Movie
